County,Year ,Grade
Anoka,1980,4
Anoka,1981,4
Anoka,1982,4
Anoka,1983,2
Anoka,1984,4
Anoka,1985,1
Anoka,1986,2
Anoka,1987,1
Anoka,1988,1
Anoka,1989,4
Anoka,1990,1
Anoka,1991,0
Anoka,1993,4
Anoka,1994,4
Anoka,1995,3
Anoka,1996,4
Anoka,1997,4
Anoka,1998,4
Anoka,1999,4
Anoka,2000,4
Anoka,2001,3
Anoka,2002,4
Anoka,2003,4
Anoka,2004,4
Anoka,2005,4
Anoka,2006,4
Anoka,2007,4
Anoka,2008,3
Anoka,2009,3
Anoka,2010,3
Anoka,2011,3
Anoka,2012,3
Anoka,2013,2
Anoka,2014,2
,,
County,Year ,Grade
Carver,1980,3
Carver,1981,4
Carver,1982,4
Carver,1983,2
Carver,1984,4
Carver,1985,4
Carver,1986,3
Carver,1987,3
Carver,1989,4
Carver,1990,4
Carver,1991,2
Carver,1993,4
Carver,1994,4
Carver,1995,3
Carver,1996,4
Carver,1997,4
Carver,1998,4
Carver,1999,4
Carver,2000,4
Carver,2001,4
Carver,2002,4
Carver,2003,4
Carver,2004,4
Carver,2005,4
Carver,2006,4
Carver,2007,4
Carver,2008,4
Carver,2009,4
Carver,2010,4
Carver,2011,4
Carver,2012,4
Carver,2013,4
Carver,2014,4
,,
Chisago,1994,2
Chisago,1997,
Chisago,2000,2
Chisago,2001,3
Chisago,2002,2
Chisago,2003,2
Chisago,2004,2
Chisago,2005,3
Chisago,2006,2
Chisago,2007,3
Chisago,2008,3
Chisago,2009,3
Chisago,2010,3
Chisago,2011,2
Chisago,2012,2
Chisago,2013,3
Chisago,2014,2
,,
Dakota,1980,2
Dakota,1981,3
Dakota,1982,
Dakota,1983,3
Dakota,1984,3
Dakota,1985,3
Dakota,1986,1
Dakota,1987,2
Dakota,1988,3
Dakota,1989,3
Dakota,1990,1
Dakota,1991,2
Dakota,1992,1
Dakota,1993,4
Dakota,1994,3
Dakota,1995,4
Dakota,1996,4
Dakota,1997,4
Dakota,1998,4
Dakota,1999,4
Dakota,2000,4
Dakota,2001,4
Dakota,2002,4
Dakota,2003,4
Dakota,2004,4
Dakota,2005,4
Dakota,2006,4
Dakota,2007,4
Dakota,2008,4
Dakota,2009,4
Dakota,2010,4
Dakota,2011,4
Dakota,2012,4
Dakota,2013,4
Dakota,2014,4
,,
Goodhue,1993,1
Goodhue,1994,1
Goodhue,1995,1
,,
Hennepin,1980,4
Hennepin,1981,4
Hennepin,1982,1
Hennepin,1983,3
Hennepin,1984,4
Hennepin,1985,4
Hennepin,1986,
Hennepin,1987,
Hennepin,1988,0
Hennepin,1989,0
Hennepin,1990,2
Hennepin,1991,2
Hennepin,1993,4
Hennepin,1994,4
Hennepin,1995,2
Hennepin,1996,3
Hennepin,1997,4
Hennepin,1998,4
Hennepin,1999,4
Hennepin,2000,4
Hennepin,2001,4
Hennepin,2002,4
Hennepin,2003,4
Hennepin,2004,3
Hennepin,2005,3
Hennepin,2006,4
Hennepin,2007,4
Hennepin,2008,4
Hennepin,2009,4
Hennepin,2010,4
Hennepin,2011,4
Hennepin,2012,4
Hennepin,2013,4
Hennepin,2014,4
,,
Ramsey,1980,1
Ramsey,1981,2
Ramsey,1982,1
Ramsey,1983,2
Ramsey,1984,3
Ramsey,1985,3
Ramsey,1986,3
Ramsey,1987,3
Ramsey,1988,3
Ramsey,1989,3
Ramsey,1990,3
Ramsey,1991,3
Ramsey,1992,3
Ramsey,1993,3
Ramsey,1994,4
Ramsey,1995,3
Ramsey,1996,4
Ramsey,1997,4
Ramsey,1998,4
Ramsey,1999,3
Ramsey,2000,3
Ramsey,2001,3
Ramsey,2002,3
Ramsey,2003,3
Ramsey,2004,3
Ramsey,2005,4
Ramsey,2006,3
Ramsey,2007,2
Ramsey,2008,2
Ramsey,2009,3
Ramsey,2010,2
Ramsey,2011,3
Ramsey,2012,3
Ramsey,2013,3
Ramsey,2014,3
,,
Scott,1980,2
Scott,1981,2
Scott,1982,2
Scott,1984,3
Scott,1985,
Scott,1989,1
Scott,1990,
Scott,1992,2
Scott,1993,1
Scott,1994,2
Scott,1995,1
Scott,1996,3
Scott,1997,4
Scott,1998,3
Scott,1999,4
Scott,2000,3
Scott,2001,3
Scott,2002,3
Scott,2003,3
Scott,2004,3
Scott,2005,4
Scott,2006,3
Scott,2007,3
Scott,2008,3
Scott,2009,4
Scott,2010,4
Scott,2011,4
Scott,2012,4
Scott,2013,4
Scott,2014,3
,,
Washington,1980,4
Washington,1981,4
Washington,1982,4
Washington,1983,4
Washington,1984,4
Washington,1985,4
Washington,1986,3
Washington,1987,4
Washington,1988,4
Washington,1989,4
Washington,1990,2
Washington,1991,4
Washington,1992,4
Washington,1993,4
Washington,1994,4
Washington,1995,4
Washington,1996,4
Washington,1997,4
Washington,1998,4
Washington,1999,4
Washington,2000,4
Washington,2001,4
Washington,2002,4
Washington,2003,4
Washington,2004,4
Washington,2005,4
Washington,2006,4
Washington,2007,4
Washington,2008,4
Washington,2009,4
Washington,2010,4
Washington,2011,4
Washington,2012,4
Washington,2013,4
Washington,2014,4
