county,reportyear,numReports,numLakeGrade,distinctLakeGrade,maxGrade,numPhosReprots,maxPhos,avgPhos,numRecSuit,numDistRecSuit,maxRecSuit,numSecchi,numDistSecchi,avgSecchi
Anoka,1980,38,8,4,4,28,0.18,0.059285714285714296,0,0,,30,0,1.503333333333333
Anoka,1981,46,6,4,4,40,0.43,0.07659999999999997,0,0,,20,0,2.849999999999999
Anoka,1982,88,3,3,4,85,0.05,0.0219529411764706,0,0,,33,0,3.339393939393939
Anoka,1983,106,9,2,2,97,0.41,0.08293814432989689,0,0,,46,0,1.4239130434782605
Anoka,1984,32,3,3,4,29,0.09,0.03586206896551726,0,0,,14,0,2.1285714285714286
Anoka,1985,3,3,1,1,0,,,0,0,,0,0,
Anoka,1986,1,1,1,2,0,,,0,0,,0,0,
Anoka,1987,3,3,2,1,0,,,0,0,,0,0,
Anoka,1988,4,4,2,1,0,,,0,0,,0,0,
Anoka,1989,146,6,4,4,140,0.34,0.0652357142857142,0,0,,52,0,2.6884615384615387
Anoka,1990,3,3,2,1,0,,,0,0,,0,0,
Anoka,1991,38,2,1,0,36,1.02,0.20583333333333328,0,0,,12,0,0.9916666666666666
Anoka,1993,130,7,4,4,122,1.4,0.1436885245901638,85,4,4,98,0,1.5724489795918357
Anoka,1994,187,9,5,4,178,0.35,0.05252808988764042,81,5,5,121,0,1.4710743801652895
Anoka,1995,120,5,2,3,115,0.91,0.0927826086956521,56,5,5,80,0,1.44875
Anoka,1996,84,6,5,4,78,0.6,0.11025641025641028,78,5,5,78,0,1.0769230769230766
Anoka,1997,169,11,5,4,158,0.31,0.0716772151898734,97,5,5,124,0,1.214516129032258
Anoka,1998,177,10,5,4,167,0.41,0.09419161676646698,102,5,5,128,0,1.5796874999999997
Anoka,1999,115,9,5,4,106,0.4,0.09533018867924528,103,5,5,106,0,1.3386792452830192
Anoka,2000,124,10,5,4,113,0.37,0.08230088495575218,86,5,5,101,0,1.2188118811881183
Anoka,2001,136,10,4,3,126,1.3,0.11190476190476188,91,5,5,108,0,0.9675000000000005
Anoka,2002,94,7,4,4,87,0.323,0.10194252873563216,80,5,5,87,0,1.1818390804597696
Anoka,2003,128,10,5,4,118,1.01,0.10794067796610173,59,5,5,106,0,1.243679245283019
Anoka,2004,116,7,5,4,109,0.451,0.10593577981651375,45,5,5,96,0,1.2289583333333332
Anoka,2005,93,8,4,4,85,0.485,0.13862352941176473,68,5,5,85,0,1.388588235294118
Anoka,2006,106,8,4,4,97,0.72,0.14787628865979377,94,5,5,97,0,1.1134020618556697
Anoka,2007,112,9,5,4,91,0.524,0.11943956043956044,90,5,5,93,0,1.28
Anoka,2008,101,8,3,3,93,0.236,0.06043010752688173,72,4,4,93,0,1.2645161290322582
Anoka,2009,115,7,3,3,108,0.314,0.05297222222222221,96,5,5,91,0,1.7870329670329665
Anoka,2010,98,6,3,3,91,0.318,0.06136263736263734,64,4,4,73,0,1.6669863013698625
Anoka,2011,73,6,3,3,67,0.2,0.06144776119402985,56,5,5,61,0,1.2560655737704918
Anoka,2012,66,5,4,3,61,0.716,0.10844262295081969,60,5,5,59,0,1.1608474576271184
Anoka,2013,26,3,3,2,23,0.65,0.13321739130434782,23,5,5,22,0,1.1836363636363634
Anoka,2014,22,1,1,2,21,0.163,0.08147619047619047,21,4,4,21,1,0.8452380952380952
Carver,1980,25,5,3,3,18,0.57,0.1522222222222222,0,0,,20,0,1.3850000000000002
Carver,1981,44,4,4,4,40,0.56,0.14932499999999993,0,0,,20,0,2.375
Carver,1982,98,2,2,4,96,1.05,0.1293437499999999,0,0,,43,0,1.8837209302325577
Carver,1983,107,5,2,2,102,0.98,0.13520588235294118,0,0,,40,0,1.7125000000000004
Carver,1984,113,6,4,4,107,0.51,0.06640186915887847,0,0,,32,0,2.0593749999999997
Carver,1985,105,8,5,4,97,0.96,0.16520618556701022,0,0,,40,0,1.5074999999999998
Carver,1986,409,6,3,3,402,1.215,0.15388059701492535,0,0,,100,0,2.133
Carver,1987,395,6,3,3,389,1.6,0.16912596401028288,0,0,,108,0,1.8851851851851849
Carver,1989,119,4,3,4,115,1.04,0.07249565217391299,0,0,,39,0,2.258974358974359
Carver,1990,220,1,1,4,217,1.13,0.09158986175115208,0,0,,65,0,2.2107692307692304
Carver,1991,270,5,2,2,265,1.23,0.15175471698113205,0,0,,71,0,1.2746478873239435
Carver,1993,166,5,4,4,161,1.9,0.19673913043478264,15,4,4,67,0,1.992537313432836
Carver,1994,144,4,3,4,140,1.3,0.14377857142857145,16,3,3,54,0,2.298148148148148
Carver,1995,88,5,3,3,83,0.77,0.05975903614457826,12,3,3,39,0,2.220512820512821
Carver,1996,147,9,4,4,138,0.43,0.13315217391304357,40,4,4,90,0,1.6377777777777776
Carver,1997,192,8,4,4,184,0.78,0.1118206521739131,65,4,4,107,0,1.9803738317757003
Carver,1998,157,7,4,4,150,1.2,0.1235333333333332,72,4,4,98,0,2.3622448979591835
Carver,1999,294,14,5,4,280,0.95,0.11837499999999994,151,5,5,202,0,1.4445544554455438
Carver,2000,287,21,5,4,266,1.8,0.21424812030075185,200,5,5,232,0,1.4065086206896558
Carver,2001,312,19,5,4,293,45.0,0.29460750853242335,223,5,5,266,0,1.4887218045112787
Carver,2002,397,23,5,4,372,1.21,0.09493817204301075,218,5,5,299,0,1.7847157190635436
Carver,2003,398,23,5,4,372,2.29,0.1350645161290323,252,5,5,306,0,1.713529411764706
Carver,2004,320,19,5,4,300,1.13,0.10217333333333325,221,5,5,251,0,1.8247410358565737
Carver,2005,397,26,5,4,367,1.39,0.13683378746594008,305,5,5,328,0,1.7534451219512213
Carver,2006,435,27,5,4,405,0.74,0.12881975308641969,318,5,5,351,0,1.5025356125356117
Carver,2007,262,20,5,4,223,0.754,0.12047982062780266,214,5,5,215,0,1.664930232558139
Carver,2008,345,23,5,4,294,3.79,0.13223469387755102,305,5,5,309,0,1.5140453074433655
Carver,2009,325,24,5,4,288,0.799,0.1205729166666666,290,5,5,297,0,1.7169360269360263
Carver,2010,338,24,5,4,313,1.24,0.10560702875399361,309,5,5,310,0,1.5290967741935473
Carver,2011,340,24,5,4,309,1.17,0.11487378640776691,307,5,5,310,0,1.632870967741933
Carver,2012,503,23,5,4,309,1.05,0.13206796116504843,306,5,5,304,0,1.572664473684211
Carver,2013,404,21,5,4,267,0.574,0.10584269662921349,265,5,5,266,0,1.4968045112781958
Carver,2014,282,21,4,4,257,0.574,0.10002334630350194,255,5,5,259,1,1.5797297297297297
Chisago,1994,2,2,1,2,0,,,0,0,,0,0,
Chisago,1997,3,0,0,,3,0.05,0.03666666666666667,3,2,3,3,0,1.6666666666666667
Chisago,2000,15,1,1,2,14,0.14,0.042857142857142864,14,4,4,14,0,1.582142857142857
Chisago,2001,15,1,1,3,14,0.06,0.03428571428571429,14,4,4,14,0,1.9067142857142856
Chisago,2002,15,1,1,2,14,0.054,0.04064285714285715,14,3,4,14,0,1.4171428571428575
Chisago,2003,15,1,1,2,14,0.198,0.05785714285714287,14,3,3,14,0,1.6455
Chisago,2004,15,1,1,2,14,0.056,0.038642857142857145,14,2,3,14,0,1.894
Chisago,2005,59,3,3,3,56,0.299,0.08730357142857144,56,4,5,56,0,1.4369642857142857
Chisago,2006,98,5,2,2,85,2.05,0.28674117647058817,56,4,5,56,0,1.5185357142857137
Chisago,2007,69,4,2,3,56,0.223,0.06548214285714286,43,4,4,55,0,1.4546727272727271
Chisago,2008,29,3,2,3,26,0.101,0.029115384615384623,13,3,3,26,0,1.6038461538461541
Chisago,2009,47,4,2,3,41,0.082,0.034,42,5,5,37,0,1.5648648648648649
Chisago,2010,42,3,2,3,39,0.259,0.051000000000000004,39,5,5,39,0,1.5769230769230766
Chisago,2011,39,3,2,2,36,0.188,0.06122222222222224,35,5,5,36,0,1.438888888888889
Chisago,2012,38,3,2,2,35,0.4,0.08117142857142855,33,5,5,34,0,1.4205882352941177
Chisago,2013,66,3,3,3,63,0.178,0.051492063492063485,63,5,5,63,0,1.4446031746031747
Chisago,2014,114,3,2,2,108,0.322,0.05614814814814815,109,5,5,110,2,1.2980909090909087
Dakota,1980,29,5,2,2,23,0.38,0.08695652173913043,0,0,,24,0,1.3
Dakota,1981,32,2,2,3,30,0.15,0.04426666666666667,0,0,,15,0,2.086666666666667
Dakota,1982,93,0,0,,93,0.59,0.105010752688172,0,0,,44,0,1.7909090909090908
Dakota,1983,85,4,2,3,80,0.63,0.07218749999999999,0,0,,25,0,2.568
Dakota,1984,109,3,3,3,106,0.72,0.15674528301886784,0,0,,23,0,1.965217391304348
