LAKE_NAME,CITY,county,reportyear,numReports,numLakeGrade,distinctLakeGrade,maxGrade,numPhosReprots,maxPhos,avgPhos,numRecSuit,numDistRecSuit,maxRecSuit,numSecchi,numDistSecchi,avgSecchi
Acorn Lake,Oakdale,Washington,2006,15,1,1,2,14,0.156,0.06707142857142857,14,1,5,14,0,0.4121428571428572
Acorn Lake,Oakdale,Washington,2008,6,0,0,,6,0.076,0.04,6,2,4,6,0,1.0413333333333332
Acorn Lake,Oakdale,Washington,2009,6,0,0,,6,0.086,0.043333333333333335,6,2,4,6,0,0.9141666666666666
Acorn Lake,Oakdale,Washington,2010,8,1,1,2,7,0.053,0.03885714285714286,7,2,4,7,0,0.8714285714285716
Alice Lake,Scandia,Washington,2014,12,0,0,,12,0.047,0.020666666666666667,12,2,4,12,2,1.8525
Alimagnet Lake,Burnsville,Dakota,1990,1,1,1,1,0,,,0,0,,0,0,
Alimagnet Lake,Burnsville,Dakota,1995,13,1,1,2,12,0.17,0.07708333333333334,12,4,5,12,0,1.633333333333333
Alimagnet Lake,Burnsville,Dakota,1996,11,1,1,1,10,0.15,0.08800000000000001,8,3,4,10,0,1.12
Alimagnet Lake,Burnsville,Dakota,1997,11,1,1,2,10,0.11,0.06599999999999999,10,3,3,10,0,1.2600000000000002
Alimagnet Lake,Burnsville,Dakota,1998,11,1,1,2,10,0.15,0.07300000000000001,10,4,4,10,0,1.37
Alimagnet Lake,Burnsville,Dakota,1999,11,1,1,1,10,0.24,0.121,10,3,3,10,0,0.9299999999999999
Alimagnet Lake,Burnsville,Dakota,2000,10,1,1,1,9,0.18,0.11666666666666667,1,1,4,8,0,0.55
Alimagnet Lake,Burnsville,Dakota,2001,9,1,1,1,8,0.16,0.08750000000000001,8,3,4,8,0,0.7075
Alimagnet Lake,Burnsville,Dakota,2002,10,1,1,1,9,0.145,0.11688888888888889,7,2,4,8,0,0.5187499999999999
Alimagnet Lake,Burnsville,Dakota,2003,13,1,1,1,12,0.215,0.12216666666666669,12,2,3,12,0,0.575
Alimagnet Lake,Burnsville,Dakota,2004,11,1,1,1,10,0.5,0.16449999999999998,9,1,3,10,0,0.445
